Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Harrisburg/Scranton,Weekly,"2023-01-15 00:00:00",Conventional,1.062340566,423464.69,148709.23,114731.93,23309.19,125801.04,,,,10913.31
Harrisburg/Scranton,Weekly,"2023-01-09 00:00:00",Conventional,1.105986800,382889.51,151960.59,97958.02,13777.67,112528.04,,,,6665.19
Hartford/Springfield,Weekly,"2023-01-29 00:00:00",Conventional,1.373825396,345001.79,16609.59,241292.70,184.17,75704.74,,,,11210.59
Hartford/Springfield,Weekly,"2023-01-22 00:00:00",Conventional,1.416649410,314200.20,14010.79,212871.96,84.56,76738.81,,,,10494.08
Hartford/Springfield,Weekly,"2023-01-15 00:00:00",Conventional,1.340707523,359613.52,17883.96,257098.92,1074.07,71748.49,,,,11808.07
Hartford/Springfield,Weekly,"2023-01-09 00:00:00",Conventional,1.417861853,316550.95,15230.17,224600.67,279.01,67585.76,,,,8855.35
Houston,Weekly,"2023-01-29 00:00:00",Conventional,0.742722160,1012486.69,305463.56,86758.99,1401.34,298242.01,,,,320620.80
Houston,Weekly,"2023-01-22 00:00:00",Conventional,0.775340282,1029398.24,247906.46,164182.96,775.71,294560.29,,,,321972.82
Houston,Weekly,"2023-01-15 00:00:00",Conventional,0.791852151,1009678.75,257013.59,173507.51,1313.85,306915.12,,,,270928.68
Houston,Weekly,"2023-01-09 00:00:00",Conventional,0.792814301,903594.72,254117.28,183356.06,780.25,221035.67,,,,244305.46
Indianapolis,Weekly,"2023-01-29 00:00:00",Conventional,0.916499534,285505.23,66788.64,30836.47,5396.60,59792.45,,,,122691.07
Indianapolis,Weekly,"2023-01-22 00:00:00",Conventional,0.909194346,279213.72,61288.58,32472.81,9072.11,61866.30,,,,114513.92
Indianapolis,Weekly,"2023-01-15 00:00:00",Conventional,0.942968291,291727.29,60970.32,33404.11,15025.38,55304.54,,,,127022.95
Indianapolis,Weekly,"2023-01-09 00:00:00",Conventional,0.918126405,264352.98,50321.70,36021.54,4617.52,62249.45,,,,111142.76
Jacksonville,Weekly,"2023-01-29 00:00:00",Conventional,0.927976254,276977.04,146924.43,4653.90,20.08,70359.31,,,,55019.31
Jacksonville,Weekly,"2023-01-22 00:00:00",Conventional,0.923575709,280221.05,154454.89,4174.38,37.79,72032.51,,,,49521.48
Jacksonville,Weekly,"2023-01-15 00:00:00",Conventional,0.942618380,267803.80,147622.39,4728.80,31.85,57401.28,,,,58019.49
Jacksonville,Weekly,"2023-01-09 00:00:00",Conventional,0.974306474,261366.33,151613.93,4172.58,11.83,48019.87,,,,57548.13
"Las Vegas",Weekly,"2023-01-29 00:00:00",Conventional,0.923353598,424234.23,67358.11,19972.56,1111.21,140152.12,,,,195640.23
"Las Vegas",Weekly,"2023-01-22 00:00:00",Conventional,0.937230402,425539.51,62992.72,27596.15,2149.68,167230.80,,,,165570.16
"Las Vegas",Weekly,"2023-01-15 00:00:00",Conventional,0.965984700,429164.39,60915.40,37921.81,2866.43,137071.74,,,,190389.02
"Las Vegas",Weekly,"2023-01-09 00:00:00",Conventional,0.892594215,429063.29,56292.18,39411.20,482.52,126485.29,,,,206392.10
"Los Angeles",Weekly,"2023-01-29 00:00:00",Conventional,1.128291861,2868689.24,527044.85,20990.27,87844.01,724594.86,,,,1507643.67
"Los Angeles",Weekly,"2023-01-22 00:00:00",Conventional,1.205720402,2869000.23,534598.84,17751.69,98160.53,679626.06,,,,1538863.11
"Los Angeles",Weekly,"2023-01-15 00:00:00",Conventional,1.216196189,2742152.24,532319.59,18030.48,86118.24,680093.77,,,,1425590.16
"Los Angeles",Weekly,"2023-01-09 00:00:00",Conventional,1.162507442,2809927.34,540506.52,17493.66,118721.66,627686.70,,,,1505518.79
Louisville,Weekly,"2023-01-29 00:00:00",Conventional,0.975895029,157579.37,34182.63,4652.98,1026.33,37196.53,,,,80520.90
Louisville,Weekly,"2023-01-22 00:00:00",Conventional,0.983090798,146616.63,30866.49,6134.04,1902.32,38064.82,,,,69648.96
Louisville,Weekly,"2023-01-15 00:00:00",Conventional,0.950769532,152831.65,30314.67,7818.64,3386.89,37855.49,,,,73455.96
Louisville,Weekly,"2023-01-09 00:00:00",Conventional,0.962876837,144167.28,24588.07,13103.03,1072.06,35038.35,,,,70365.77
"Miami/Ft. Lauderdale",Weekly,"2023-01-29 00:00:00",Conventional,0.927504134,1134713.40,656236.35,14982.31,117.98,274418.60,,,,188950.62
"Miami/Ft. Lauderdale",Weekly,"2023-01-22 00:00:00",Conventional,0.924184206,1141159.87,659001.09,15186.89,128.41,311643.65,,,,155199.84
"Miami/Ft. Lauderdale",Weekly,"2023-01-15 00:00:00",Conventional,0.923554546,1142190.65,634541.65,14178.55,99.39,299691.87,,,,193679.19
"Miami/Ft. Lauderdale",Weekly,"2023-01-09 00:00:00",Conventional,0.931542362,1049278.45,597482.85,13827.30,201.33,261212.41,,,,176539.08
Nashville,Weekly,"2023-01-29 00:00:00",Conventional,0.934100200,343144.64,113009.91,7626.53,31.60,94562.71,,,,127913.89
Nashville,Weekly,"2023-01-22 00:00:00",Conventional,0.923645650,335699.09,112942.25,8760.28,32.94,101400.60,,,,112563.02
Nashville,Weekly,"2023-01-15 00:00:00",Conventional,0.894878911,330619.90,111799.53,9818.06,67.67,88827.48,,,,120107.15
Nashville,Weekly,"2023-01-09 00:00:00",Conventional,0.895129930,338921.58,104165.43,17086.94,57.44,93149.54,,,,124462.24
"Northern New England",Weekly,"2023-01-29 00:00:00",Conventional,1.056092599,465490.04,105741.37,213969.14,27.99,75940.20,,,,69811.34
"Northern New England",Weekly,"2023-01-22 00:00:00",Conventional,1.059843439,633307.71,170525.71,326966.29,30.35,78812.77,,,,56972.59
"Northern New England",Weekly,"2023-01-15 00:00:00",Conventional,1.105379299,481809.39,107609.74,232578.64,19.36,86737.26,,,,54864.39
"Northern New England",Weekly,"2023-01-09 00:00:00",Conventional,1.060136067,474929.08,97735.06,234707.09,18.25,82998.13,,,,59470.56
"New Orleans/Mobile",Weekly,"2023-01-29 00:00:00",Conventional,0.785366276,341188.70,123826.39,2394.13,3096.44,139000.81,,,,72870.93
"New Orleans/Mobile",Weekly,"2023-01-22 00:00:00",Conventional,0.774796193,326404.43,116486.75,1548.87,554.80,150681.70,,,,57132.31
"New Orleans/Mobile",Weekly,"2023-01-15 00:00:00",Conventional,0.770299607,350743.69,125787.58,2083.02,536.78,148939.54,,,,73396.76
"New Orleans/Mobile",Weekly,"2023-01-09 00:00:00",Conventional,0.790332931,332597.48,126223.94,1935.45,181.80,132281.49,,,,71974.80
"New York",Weekly,"2023-01-29 00:00:00",Conventional,1.221936283,2164649.47,138867.95,1285402.17,1002.80,620250.36,,,,119126.20
"New York",Weekly,"2023-01-22 00:00:00",Conventional,1.341295372,1716833.68,103421.44,891432.05,829.54,603125.80,,,,118024.85
"New York",Weekly,"2023-01-15 00:00:00",Conventional,1.225770910,2111537.24,135165.74,1284921.83,541.41,598604.36,,,,92303.90
"New York",Weekly,"2023-01-09 00:00:00",Conventional,1.352827858,1664185.39,98513.02,921782.43,781.74,557712.47,,,,85395.74
Orlando,Weekly,"2023-01-29 00:00:00",Conventional,0.893665539,676853.89,321334.10,6624.98,25.51,231020.53,,,,117848.77
Orlando,Weekly,"2023-01-22 00:00:00",Conventional,0.885942553,672591.24,312434.89,6895.62,60.48,238926.45,,,,114273.81
Orlando,Weekly,"2023-01-15 00:00:00",Conventional,0.907122509,651056.11,289575.67,5834.26,25.32,227465.94,,,,128154.92
Orlando,Weekly,"2023-01-09 00:00:00",Conventional,0.923015118,611310.67,295585.01,5839.62,17.01,194130.26,,,,115738.77
Peoria/Springfield,Weekly,"2023-01-29 00:00:00",Conventional,0.877220540,131441.73,44327.35,5776.35,2611.52,37206.47,,,,41520.03
Peoria/Springfield,Weekly,"2023-01-22 00:00:00",Conventional,0.875187036,128494.28,38748.38,6234.85,4407.03,37218.91,,,,41885.11
Peoria/Springfield,Weekly,"2023-01-15 00:00:00",Conventional,0.921938567,136877.72,39203.39,8492.40,10291.82,34965.33,,,,43924.79
Peoria/Springfield,Weekly,"2023-01-09 00:00:00",Conventional,0.854049033,126558.00,41785.35,7339.37,2592.42,35392.77,,,,39448.10
Philadelphia,Weekly,"2023-01-29 00:00:00",Conventional,1.059022469,664220.49,144121.91,234831.52,12376.35,205803.69,,,,67087.02
Philadelphia,Weekly,"2023-01-22 00:00:00",Conventional,1.066663932,603688.68,136707.50,172813.23,12865.75,206499.92,,,,74802.27
Philadelphia,Weekly,"2023-01-15 00:00:00",Conventional,1.089946370,665137.11,139174.35,241619.95,23473.22,213258.47,,,,47611.11
Philadelphia,Weekly,"2023-01-09 00:00:00",Conventional,1.110836443,580383.31,136704.28,172706.39,11793.45,213263.83,,,,45915.36
Phoenix/Tucson,Weekly,"2023-01-29 00:00:00",Conventional,0.807549605,1362777.15,361765.12,107921.38,4263.93,218212.02,,,,670614.70
Phoenix/Tucson,Weekly,"2023-01-22 00:00:00",Conventional,0.833658909,1327849.00,335137.25,132430.61,4028.47,250297.85,,,,605954.81
Phoenix/Tucson,Weekly,"2023-01-15 00:00:00",Conventional,0.845739107,1331942.02,327473.74,146376.63,2773.83,209275.59,,,,646042.23
Phoenix/Tucson,Weekly,"2023-01-09 00:00:00",Conventional,0.817917653,1338150.63,292862.39,170948.54,3799.17,196372.99,,,,674167.53
Pittsburgh,Weekly,"2023-01-29 00:00:00",Conventional,1.375426469,124389.42,45552.98,16915.79,52.82,45087.88,,,,16779.94
Pittsburgh,Weekly,"2023-01-22 00:00:00",Conventional,1.033414610,174561.44,66164.19,17638.13,78.54,45850.20,,,,44830.37
Pittsburgh,Weekly,"2023-01-15 00:00:00",Conventional,1.389088648,128341.78,41108.43,17776.71,157.79,45068.75,,,,24230.10
Pittsburgh,Weekly,"2023-01-09 00:00:00",Conventional,1.221609739,137256.46,49224.01,16312.34,109.79,41791.41,,,,29818.90
Portland,Weekly,"2023-01-29 00:00:00",Conventional,1.159679800,654779.70,88401.03,74859.52,5211.95,100082.67,,,,386224.53
Portland,Weekly,"2023-01-22 00:00:00",Conventional,1.200316005,598363.65,116576.39,30798.13,5415.72,109167.40,,,,336406.01
Portland,Weekly,"2023-01-15 00:00:00",Conventional,1.250314375,540025.77,112400.87,33412.40,6321.04,104302.64,,,,283588.83
Portland,Weekly,"2023-01-09 00:00:00",Conventional,1.095823205,608873.63,103950.27,65833.66,5435.65,95410.76,,,,338243.29
Providence,Weekly,"2023-01-29 00:00:00",Conventional,1.326215536,89851.43,4085.43,47784.81,32.48,18496.25,,,,19452.47
Providence,Weekly,"2023-01-22 00:00:00",Conventional,1.469196897,81058.73,4076.79,46148.07,24.91,19289.88,,,,11519.09
Providence,Weekly,"2023-01-15 00:00:00",Conventional,1.465093323,80842.28,4148.59,45896.62,25.41,18576.86,,,,12194.80
Providence,Weekly,"2023-01-09 00:00:00",Conventional,1.342979886,89207.53,3857.56,51612.01,13.23,17209.37,,,,16515.36
Raleigh/Greensboro,Weekly,"2023-01-29 00:00:00",Conventional,1.150688114,425257.14,145406.60,67816.63,692.83,161988.84,,,,49352.24
Raleigh/Greensboro,Weekly,"2023-01-22 00:00:00",Conventional,1.161353547,428478.02,144188.13,72797.98,749.74,166820.43,,,,43921.74
Raleigh/Greensboro,Weekly,"2023-01-15 00:00:00",Conventional,1.071333706,452085.96,151292.22,92837.65,920.39,155910.81,,,,51124.89
Raleigh/Greensboro,Weekly,"2023-01-09 00:00:00",Conventional,1.196787627,412569.25,132908.00,67691.98,717.99,163009.81,,,,48241.47
Richmond/Norfolk,Weekly,"2023-01-29 00:00:00",Conventional,1.020831635,336415.96,93960.30,75784.38,275.80,92200.09,,,,74195.40
Richmond/Norfolk,Weekly,"2023-01-22 00:00:00",Conventional,1.053784442,323941.04,90227.84,70190.02,290.39,96162.21,,,,67070.58
Richmond/Norfolk,Weekly,"2023-01-15 00:00:00",Conventional,1.000454450,336580.23,101411.97,77224.62,339.15,92961.76,,,,64642.72
Richmond/Norfolk,Weekly,"2023-01-09 00:00:00",Conventional,1.035055622,323805.91,93530.93,70503.70,311.27,94823.28,,,,64636.73
Roanoke,Weekly,"2023-01-29 00:00:00",Conventional,0.901588612,212515.11,59196.05,23439.78,692.82,53326.15,,,,75860.30
Roanoke,Weekly,"2023-01-22 00:00:00",Conventional,0.939864680,206374.60,58054.63,23716.03,567.51,56775.74,,,,67260.69
Roanoke,Weekly,"2023-01-15 00:00:00",Conventional,0.942840640,197173.15,59220.49,22077.10,928.90,54471.22,,,,60475.45
Roanoke,Weekly,"2023-01-09 00:00:00",Conventional,0.935933024,185649.39,57343.88,21727.78,467.95,51329.95,,,,54779.84
Sacramento,Weekly,"2023-01-29 00:00:00",Conventional,1.197140565,501672.19,151921.66,96626.33,121.96,117050.24,,,,135952.00
Sacramento,Weekly,"2023-01-22 00:00:00",Conventional,1.464387493,409963.20,123628.55,100195.84,183.50,90341.47,,,,95613.85
Sacramento,Weekly,"2023-01-15 00:00:00",Conventional,1.538107056,390826.93,97097.68,109190.06,185.48,92876.14,,,,91477.57
Sacramento,Weekly,"2023-01-09 00:00:00",Conventional,1.237178417,474348.07,136493.03,91969.47,441.28,121382.99,,,,124061.30
"San Diego",Weekly,"2023-01-29 00:00:00",Conventional,1.059440259,526249.87,102445.39,9434.95,9749.71,121795.41,,,,282817.75
"San Diego",Weekly,"2023-01-22 00:00:00",Conventional,1.209568958,523352.06,100534.15,7726.94,10758.03,121833.96,,,,282498.97
"San Diego",Weekly,"2023-01-15 00:00:00",Conventional,1.225551406,506176.32,107493.35,8011.03,10797.10,124125.52,,,,255749.31
"San Diego",Weekly,"2023-01-09 00:00:00",Conventional,1.200648537,520145.24,102101.78,8953.18,15131.95,116729.15,,,,277229.17
"San Francisco",Weekly,"2023-01-29 00:00:00",Conventional,1.046545852,950197.64,334052.37,80020.69,981.16,125915.02,,,,409228.41
"San Francisco",Weekly,"2023-01-22 00:00:00",Conventional,1.467078950,710380.80,240650.29,111810.85,776.39,120548.81,,,,236594.46
"San Francisco",Weekly,"2023-01-15 00:00:00",Conventional,1.536902025,662675.56,186990.01,118237.13,1094.50,122700.44,,,,233653.49
"San Francisco",Weekly,"2023-01-09 00:00:00",Conventional,1.107996988,896915.62,325305.66,74427.85,1390.72,126345.43,,,,369445.96
Seattle,Weekly,"2023-01-29 00:00:00",Conventional,1.336682119,581645.09,71547.29,63826.80,2492.51,84982.86,,,,358795.64
Seattle,Weekly,"2023-01-22 00:00:00",Conventional,1.467065545,515211.61,99243.65,37262.08,3683.19,101257.75,,,,273764.94
Seattle,Weekly,"2023-01-15 00:00:00",Conventional,1.507743387,450903.51,72157.26,43579.19,4098.86,97930.34,,,,233137.85
Seattle,Weekly,"2023-01-09 00:00:00",Conventional,1.180225082,583972.87,82117.64,72113.04,4437.15,89520.05,,,,335784.97
"South Carolina",Weekly,"2023-01-29 00:00:00",Conventional,1.013934655,572415.24,237753.41,44362.81,306.76,141784.89,,,,148207.37
"South Carolina",Weekly,"2023-01-22 00:00:00",Conventional,1.020956999,580567.71,243394.90,44518.99,298.21,139550.81,,,,152804.80
"South Carolina",Weekly,"2023-01-15 00:00:00",Conventional,0.997891071,575736.48,240410.73,54285.85,481.90,140645.51,,,,139912.49
"South Carolina",Weekly,"2023-01-09 00:00:00",Conventional,1.052148580,521173.74,214372.95,45904.43,338.52,132541.30,,,,128016.55
Spokane,Weekly,"2023-01-29 00:00:00",Conventional,1.144867194,84427.62,15616.26,9547.05,11.73,15487.60,,,,43764.98
Spokane,Weekly,"2023-01-22 00:00:00",Conventional,1.219031698,78970.48,19701.77,5671.88,25.91,18396.84,,,,35174.08
Spokane,Weekly,"2023-01-15 00:00:00",Conventional,1.235237536,73359.28,18275.47,10291.87,113.87,15795.58,,,,28882.50
Spokane,Weekly,"2023-01-09 00:00:00",Conventional,0.980726495,92737.45,20151.66,11797.74,5.67,20468.64,,,,40313.74
"St. Louis",Weekly,"2023-01-29 00:00:00",Conventional,0.956027411,215920.12,72456.98,4629.44,6.61,69183.00,,,,69644.08
"St. Louis",Weekly,"2023-01-22 00:00:00",Conventional,0.908643347,221195.06,77881.47,4824.11,5.67,70309.18,,,,68174.63
"St. Louis",Weekly,"2023-01-15 00:00:00",Conventional,0.927020647,211045.65,83146.77,4569.53,0.00,58847.98,,,,64481.37
"St. Louis",Weekly,"2023-01-09 00:00:00",Conventional,0.875629953,234880.11,93452.75,5302.50,10.39,64433.32,,,,71681.15
Syracuse,Weekly,"2023-01-29 00:00:00",Conventional,1.048292319,83913.99,13111.80,33247.91,355.30,31369.38,,,,5829.60
Syracuse,Weekly,"2023-01-22 00:00:00",Conventional,1.044800662,92131.90,15390.60,37942.75,295.49,32564.91,,,,5938.14
Syracuse,Weekly,"2023-01-15 00:00:00",Conventional,1.077786395,85330.25,12848.70,32416.28,254.88,33321.80,,,,6488.61
Syracuse,Weekly,"2023-01-09 00:00:00",Conventional,1.093436016,84814.68,12341.76,36876.22,261.02,32263.77,,,,3071.91
Tampa,Weekly,"2023-01-29 00:00:00",Conventional,0.896085250,729293.67,379796.60,6143.95,42.52,205016.37,,,,138283.96
Tampa,Weekly,"2023-01-22 00:00:00",Conventional,0.885146156,724409.08,347216.65,5675.36,117.16,219571.98,,,,151825.99
Tampa,Weekly,"2023-01-15 00:00:00",Conventional,0.877663710,724262.74,333372.42,5242.67,56.27,220709.80,,,,164881.57
Tampa,Weekly,"2023-01-09 00:00:00",Conventional,0.885274124,700023.75,351136.54,5467.35,84.10,198575.39,,,,144760.37
Toledo,Weekly,"2023-01-29 00:00:00",Conventional,0.939699601,146382.67,33574.52,20707.79,4002.60,26863.54,,,,61234.22
Toledo,Weekly,"2023-01-22 00:00:00",Conventional,0.935927710,141882.90,30750.23,23681.52,7189.97,26161.62,,,,54099.56
Toledo,Weekly,"2023-01-15 00:00:00",Conventional,0.990670460,149759.01,30174.83,20892.05,12940.74,24961.22,,,,60790.17
Toledo,Weekly,"2023-01-09 00:00:00",Conventional,0.976691841,133940.41,21584.24,24283.24,4909.65,29908.02,,,,53255.26
"West Tex/New Mexico",Weekly,"2023-01-29 00:00:00",Conventional,0.796103730,934344.94,243833.74,63741.24,3384.01,347368.31,,,,276017.65
"West Tex/New Mexico",Weekly,"2023-01-22 00:00:00",Conventional,0.769375810,1013600.66,270958.22,74815.41,3760.61,384516.81,,,,279549.61
"West Tex/New Mexico",Weekly,"2023-01-15 00:00:00",Conventional,0.827155523,954302.96,234773.43,83244.08,4339.30,361291.04,,,,270655.13
"West Tex/New Mexico",Weekly,"2023-01-09 00:00:00",Conventional,0.794231284,944779.86,253963.92,79331.18,4190.48,333724.97,,,,273569.31
